dataset,rung,model,split,train_rate,seed,auprc,auroc,best_f1,n_train,n_test,n_feats,wall_s
yelp,b,lightgbm,random,0.1,4,0.776239948523665,0.9311373779603678,0.7037682222425965,4596,36762,136,8.58
yelp,b,xgboost,random,0.1,4,0.7688663190451028,0.9297401093785487,0.7005342581310338,4596,36762,136,1.52
yelp,a,lightgbm,random,0.2,0,0.7719698512093001,0.927862247394608,0.7007053374039374,9190,32168,32,7.07
yelp,a,xgboost,random,0.2,0,0.7429566372188583,0.9182225124062545,0.6720647773279352,9190,32168,32,1.09
yelp,aL,lightgbm,random,0.2,0,0.7693252342865305,0.9279437682735244,0.6963770439243347,9190,32168,36,7.31
yelp,aL,xgboost,random,0.2,0,0.7435459840862603,0.9179004170015512,0.6756816670361339,9190,32168,36,1.11
yelp,b0,lightgbm,random,0.2,0,0.8426405460224207,0.9536010953368159,0.7614224375206431,9190,32168,132,9.11
yelp,b0,xgboost,random,0.2,0,0.8328706450844231,0.9509490210008554,0.7541573033707866,9190,32168,132,1.67
yelp,b,lightgbm,random,0.2,0,0.8360703209405566,0.951953013345052,0.754520244037715,9190,32168,136,9.19
yelp,b,xgboost,random,0.2,0,0.8272149810134274,0.9491515307544909,0.7462848465126369,9190,32168,136,1.8
yelp,a,lightgbm,random,0.2,1,0.7688085797766671,0.9259558369743035,0.6971561969439728,9190,32168,32,7.27
yelp,a,xgboost,random,0.2,1,0.7452311757794042,0.9180123953757025,0.6796479647964796,9190,32168,32,1.07
yelp,aL,lightgbm,random,0.2,1,0.7658519908816617,0.9269346088938564,0.696236850666956,9190,32168,36,7.26
yelp,aL,xgboost,random,0.2,1,0.7415014326730394,0.9188951919458742,0.6723321858864028,9190,32168,36,1.13
yelp,b0,lightgbm,random,0.2,1,0.8440114789643771,0.9541774532422977,0.7663019693654266,9190,32168,132,9.08
yelp,b0,xgboost,random,0.2,1,0.8302136886272081,0.9513662085342681,0.7497590748474141,9190,32168,132,1.64
yelp,b,lightgbm,random,0.2,1,0.8389406100783767,0.9526902341379871,0.7566149136234419,9190,32168,136,9.1
yelp,b,xgboost,random,0.2,1,0.8183510090087884,0.948107847951826,0.7414907367514003,9190,32168,136,1.67
yelp,a,lightgbm,random,0.2,2,0.7862367461900223,0.9295858505900645,0.7088551966600748,9190,32168,32,7.22
yelp,a,xgboost,random,0.2,2,0.7706573183014411,0.9261437100727838,0.6931572109138154,9190,32168,32,1.09
yelp,aL,lightgbm,random,0.2,2,0.7884885705631788,0.9349244565407028,0.7099927212228345,9190,32168,36,7.23
yelp,aL,xgboost,random,0.2,2,0.7700801611434485,0.9275881416100151,0.6940874035989717,9190,32168,36,1.09
yelp,b0,lightgbm,random,0.2,2,0.8589283370008031,0.9568828398674389,0.7766662920085422,9190,32168,132,9.03
yelp,b0,xgboost,random,0.2,2,0.8537031849937107,0.9567854093439113,0.7730859458306676,9190,32168,132,1.63
yelp,b,lightgbm,random,0.2,2,0.8563298196644044,0.9562523915047837,0.7746724890829695,9190,32168,136,9.0
yelp,b,xgboost,random,0.2,2,0.8488081593035196,0.9549010988945998,0.770752688172043,9190,32168,136,1.67
yelp,a,lightgbm,random,0.2,3,0.7634492805256023,0.9243577055859916,0.6940369393139841,9190,32168,32,7.1
yelp,a,xgboost,random,0.2,3,0.7458560543596066,0.9159155828109415,0.6783600087700066,9190,32168,32,1.07
yelp,aL,lightgbm,random,0.2,3,0.7640943441689091,0.9265307863957185,0.6964778624268522,9190,32168,36,7.23
yelp,aL,xgboost,random,0.2,3,0.7514280473449204,0.9204740792397261,0.6764290042415674,9190,32168,36,1.1
yelp,b0,lightgbm,random,0.2,3,0.8502797311891402,0.9543086912742684,0.766156937158165,9190,32168,132,8.92
yelp,b0,xgboost,random,0.2,3,0.8380027778920519,0.9498931443057448,0.7581091553193844,9190,32168,132,1.66
yelp,b,lightgbm,random,0.2,3,0.8475361600784684,0.9538565056353836,0.7631608112601129,9190,32168,136,8.95
yelp,b,xgboost,random,0.2,3,0.8314054046662683,0.9488699779022078,0.7484402852049912,9190,32168,136,1.74
yelp,a,lightgbm,random,0.2,4,0.7751827921026626,0.9280113755087314,0.7011005775307835,9190,32168,32,7.18
yelp,a,xgboost,random,0.2,4,0.7478176367853984,0.9201355956170965,0.6850722311396469,9190,32168,32,1.1
yelp,aL,lightgbm,random,0.2,4,0.782522379630721,0.931661061211348,0.7099827882960412,9190,32168,36,7.31
yelp,aL,xgboost,random,0.2,4,0.7560330930146387,0.9235700244895693,0.6881363435148296,9190,32168,36,1.09
yelp,b0,lightgbm,random,0.2,4,0.8516426887088943,0.9540225511216684,0.7738814993954051,9190,32168,132,9.19
yelp,b0,xgboost,random,0.2,4,0.8442398540144482,0.9523762394620879,0.7680175246440306,9190,32168,132,1.69
yelp,b,lightgbm,random,0.2,4,0.8466240872464826,0.9527233685311167,0.7672338568935427,9190,32168,136,9.13
yelp,b,xgboost,random,0.2,4,0.8358561900744429,0.9507778434966586,0.7571705844295881,9190,32168,136,1.68
yelp,a,lightgbm,random,0.4,0,0.8297965351654142,0.9470002918614826,0.7449075524913821,18382,22976,32,7.18
yelp,a,xgboost,random,0.4,0,0.7940068836239117,0.9385623494049973,0.7151388474171394,18382,22976,32,1.1
yelp,aL,lightgbm,random,0.4,0,0.8258912375270152,0.9479712820017147,0.744312491057376,18382,22976,36,7.35
yelp,aL,xgboost,random,0.4,0,0.79258007924844,0.9382421667410812,0.7137174009135111,18382,22976,36,1.13
